"Kennziffer";"Berufsgruppe";"Gültig"
"25134";"Techn. Servicekr. Wartung & Instandhaltung-hoch kompl.Tät.";"J"
"2518";"Berufe Maschinenb.&Betriebst.(son.spez.Tät.)";"J"
"25182";"Berufe Maschinenb.&Betriebst.(son.spez.Tät.)-fachl.ausg.Tät.";"J"
"25183";"Berufe Maschinenb.&Betriebst.(son.spez.Tät.)-kompl.Spez.tät.";"J"
"25184";"Berufe Maschinenb.&Betriebst.(son.spez.Tät.)-hoch kompl.Tät.";"J"
"2519";"Aufsichts- & Führungskr.-Maschinenbau- & Betriebstechnik";"J"
"25193";"Aufsichtskr.-Maschinenbau- & Betriebstechnik";"J"
"25194";"Führungskr.-Maschinenbau- & Betriebstechnik";"J"
"252";"Fahrzeug-, Luft-, Raumfahrt- & Schiffbautechnik";"J"
"2520";"Berufe Fahrzeugtechnik (o.Spez.)";"J"
"25201";"Berufe Fahrzeugtechnik (o.Spez.)-Helf./Anlerntät.";"J"
"2521";"Berufe Kraftfahrzeugtechnik";"J"
"25212";"Berufe Kraftfahrzeugtechnik-fachl.ausg.Tät.";"J"
"25213";"Berufe Kraftfahrzeugtechnik-kompl.Spez.tät.";"J"
"25214";"Berufe Kraftfahrzeugtechnik-hoch kompl.Tät.";"J"
"2522";"Berufe Land- & Baumaschinentechnik";"J"
"25222";"Berufe Land- & Baumaschinentechnik-fachl.ausg.Tät.";"J"
"25223";"Berufe Land- & Baumaschinentechnik-kompl.Spez.tät.";"J"
"25224";"Berufe Land- & Baumaschinentechnik-hoch kompl.Tät.";"J"
"2523";"Berufe Luft- & Raumfahrttechnik";"J"
"25232";"Berufe Luft- & Raumfahrttechnik-fachl.ausg.Tät.";"J"
"25233";"Berufe Luft- & Raumfahrttechnik-kompl.Spez.tät.";"J"
"25234";"Berufe Luft- & Raumfahrttechnik-hoch kompl.Tät.";"J"
"2524";"Berufe Schiffbautechnik";"J"
"25242";"Berufe Schiffbautechnik-fachl.ausg.Tät.";"J"
"25243";"Berufe Schiffbautechnik-kompl.Spez.tät.";"J"
"25244";"Berufe Schiffbautechnik-hoch kompl.Tät.";"J"
"2525";"Berufe Zweiradtechnik";"J"
"25252";"Berufe Zweiradtechnik-fachl.ausg.Tät.";"J"
"25253";"Berufe Zweiradtechnik-kompl.Spez.tät.";"J"
"25254";"Berufe Zweiradtechnik-hoch kompl.Tät.";"J"
"2529";"Aufsichts- & Führungskr.-Fahrz.,Luft-,Raumfahrt-&Schiffbaut.";"J"
"25293";"Aufsichtskr.-Fahrz.,Luft-,Raumfahrt-&Schiffbaut.";"J"
"25294";"Führungskr.-Fahrz.,Luft-,Raumfahrt-&Schiffbaut.";"J"
"26";"Mechatronik-, Energie- & Elektroberufe";"J"
"261";"Mechatronik & Automatisierungstechnik";"J"
"2611";"Berufe Mechatronik";"J"
"26112";"Berufe Mechatronik-fachl.ausg.Tät.";"J"
"26113";"Berufe Mechatronik-kompl.Spez.tät.";"J"
"26114";"Berufe Mechatronik-hoch kompl.Tät.";"J"
"2612";"Berufe Automatisierungstechnik";"J"
"26122";"Berufe Automatisierungstechnik-fachl.ausg.Tät.";"J"
"26123";"Berufe Automatisierungstechnik-kompl.Spez.tät.";"J"
"26124";"Berufe Automatisierungstechnik-hoch kompl.Tät.";"J"
"2619";"Aufsichtskr.-Mechatronik & Automatisierungstechnik";"J"
"26193";"Aufsichtskr.-Mechatronik & Automatisierungstechnik";"J"
"262";"Energietechnik";"J"
"2621";"Berufe Bauelektrik";"J"
"26212";"Berufe Bauelektrik-fachl.ausg.Tät.";"J"
"2622";"Berufe Elektromaschinentechnik";"J"
"26222";"Berufe Elektromaschinentechnik-fachl.ausg.Tät.";"J"
"26223";"Berufe Elektromaschinentechnik-kompl.Spez.tät.";"J"
"2623";"Berufe Energie- & Kraftwerkstechnik";"J"
"26232";"Berufe Energie- & Kraftwerkstechnik-fachl.ausg.Tät.";"J"
"26233";"Berufe Energie- & Kraftwerkstechnik-kompl.Spez.tät.";"J"
"26234";"Berufe Energie- & Kraftwerkstechnik-hoch kompl.Tät.";"J"
"2624";"Berufe regenerative Energietechnik";"J"
"26242";"Berufe regenerative Energietechnik-fachl.ausg.Tät.";"J"
"26243";"Berufe regenerative Energietechnik-kompl.Spez.tät.";"J"
"26244";"Berufe regenerative Energietechnik-hoch kompl.Tät.";"J"
"2625";"Berufe elektrische Betriebstechnik";"J"
"26252";"Berufe elektrische Betriebstechnik-fachl.ausg.Tät.";"J"
"26253";"Berufe elektrische Betriebstechnik-kompl.Spez.tät.";"J"
"2626";"Berufe Leitungsinstallation & -wartung";"J"
"26262";"Berufe Leitungsinstallation & -wartung-fachl.ausg.Tät.";"J"
"26263";"Berufe Leitungsinstallation & -wartung-kompl.Spez.tät.";"J"
"26264";"Berufe Leitungsinstallation & -wartung-hoch kompl.Tät.";"J"
"2629";"Aufsichtskr.-Energietechnik";"J"
"26293";"Aufsichtskr.-Energietechnik";"J"
"263";"Elektrotechnik";"J"
"2630";"Berufe Elektrotechnik (o.Spez.)";"J"
"26301";"Berufe Elektrotechnik (o.Spez.)-Helf./Anlerntät.";"J"
"26302";"Berufe Elektrotechnik (o.Spez.)-fachl.ausg.Tät.";"J"
"26303";"Berufe Elektrotechnik (o.Spez.)-kompl.Spez.tät.";"J"
"26304";"Berufe Elektrotechnik (o.Spez.)-hoch kompl.Tät.";"J"
"2631";"Berufe Informations- & Telekommunikationst.";"J"
"26312";"Berufe Informations- & Telekommunikationst.-fachl.ausg.Tät.";"J"
"26313";"Berufe Informations- & Telekommunikationst.-kompl.Spez.tät.";"J"
"26314";"Berufe Informations- & Telekommunikationst.-hoch kompl.Tät.";"J"
"2632";"Berufe Mikrosystemtechnik";"J"
"26322";"Berufe Mikrosystemtechnik-fachl.ausg.Tät.";"J"
"26323";"Berufe Mikrosystemtechnik-kompl.Spez.tät.";"J"
"26324";"Berufe Mikrosystemtechnik-hoch kompl.Tät.";"J"
"2633";"Berufe Luftverk., Schiffs- & Fahrzeugelektr.";"J"
"26332";"Berufe Luftverk., Schiffs- & Fahrzeugelektr.-fachl.ausg.Tät.";"J"
"26333";"Berufe Luftverk., Schiffs- & Fahrzeugelektr.-kompl.Spez.tät.";"J"
"26334";"Berufe Luftverk., Schiffs- & Fahrzeugelektr.-hoch kompl.Tät.";"J"
"2638";"Berufe Elektrotechnik (sonst.spez.Tät.)";"J"
"26382";"Berufe Elektrotechnik (sonst.spez.Tät.)-fachl.ausg.Tät.";"J"
"26383";"Berufe Elektrotechnik (sonst.spez.Tät.)-kompl.Spez.tät.";"J"
"26384";"Berufe Elektrotechnik (sonst.spez.Tät.)-hoch kompl.Tät.";"J"
"2639";"Aufsichtskr.-Elektrotechnik";"J"
"26393";"Aufsichtskr.-Elektrotechnik";"J"
"27";"Tech.Forsch.-, Entwickl.-, Konstruktions- & Produktionssteu.";"J"
"271";"Technische Forschung & Entwicklung";"J"
"2710";"Berufe techn. Forsch. & Entwickl. (o.Spez.)";"J"
"27103";"Berufe techn. Forsch. & Entwickl. (o.Spez.)-kompl.Spez.tät.";"J"
"27104";"Berufe techn. Forsch. & Entwickl. (o.Spez.)-hoch kompl.Tät.";"J"
"2718";"Berufe tech.Forsch.& Entw. (sonst.spez.Tät.)";"J"
"27182";"Berufe tech.Forsch.& Entw. (sonst.spez.Tät.)-fachl.ausg.Tät.";"J"
"27183";"Berufe tech.Forsch.& Entw. (sonst.spez.Tät.)-kompl.Spez.tät.";"J"
"27184";"Berufe tech.Forsch.& Entw. (sonst.spez.Tät.)-hoch kompl.Tät.";"J"
"2719";"Führungskr.-Technische Forschung & Entwicklung";"J"
"27194";"Führungskr.-Technische Forschung & Entwicklung";"J"
"272";"Technisches Zeichnen, Konstruktion & Modellbau";"J"
"2721";"Technische Zeichner/innen";"J"
"27212";"Technische Zeichner/innen-fachl.ausg.Tät.";"J"
"2722";"Berufe Konstruktion & Gerätebau";"J"
"27223";"Berufe Konstruktion & Gerätebau-kompl.Spez.tät.";"J"
"27224";"Berufe Konstruktion & Gerätebau-hoch kompl.Tät.";"J"
"2723";"Berufe Modellbau";"J"
"27232";"Berufe Modellbau-fachl.ausg.Tät.";"J"
"2728";"Tech.Zeich.,Konst.&Modellb.(sonst.spez.Tät.)";"J"
"27282";"Tech.Zeich.,Konst.&Modellb.(sonst.spez.Tät.)-fachl.ausg.Tät.";"J"
"27283";"Tech.Zeich.,Konst.&Modellb.(sonst.spez.Tät.)-kompl.Spez.tät.";"J"
"27284";"Tech.Zeich.,Konst.&Modellb.(sonst.spez.Tät.)-hoch kompl.Tät.";"J"
"2729";"Aufsichts- & Führungskr.-Techn. Zeichnen, Konstr. & Modellb.";"J"
"27293";"Aufsichtskr.-Techn. Zeichnen, Konstr. & Modellb.";"J"
"27294";"Führungskr.-Techn. Zeichnen, Konstr. & Modellb.";"J"
"273";"Technische Produktionsplanung & -steuerung";"J"
"2730";"Berufe tech. Produktionsplanung & -steuerung";"J"
"27302";"Berufe tech. Produktionsplanung & -steuerung-fachl.ausg.Tät.";"J"
"27303";"Berufe tech. Produktionsplanung & -steuerung-kompl.Spez.tät.";"J"
"27304";"Berufe tech. Produktionsplanung & -steuerung-hoch kompl.Tät.";"J"
"2731";"Berufe technische Qualitätssicherung";"J"
"27312";"Berufe technische Qualitätssicherung-fachl.ausg.Tät.";"J"
"27313";"Berufe technische Qualitätssicherung-kompl.Spez.tät.";"J"
"27314";"Berufe technische Qualitätssicherung-hoch kompl.Tät.";"J"
"2739";"Aufsichts- & Führungskr.-Tech. Produktionsplan. & -steuerung";"J"
"27393";"Aufsichtskr.-Tech. Produktionsplan. & -steuerung";"J"
"27394";"Führungskr.-Tech. Produktionsplan. & -steuerung";"J"
"28";"Textil- & Lederberufe";"J"
"281";"Textiltechnik & -produktion";"J"
"2810";"Berufe Textiltechnik (o.Spez.)";"J"
"28101";"Berufe Textiltechnik (o.Spez.)-Helf./Anlerntät.";"J"
"28102";"Berufe Textiltechnik (o.Spez.)-fachl.ausg.Tät.";"J"
"28103";"Berufe Textiltechnik (o.Spez.)-kompl.Spez.tät.";"J"
"28104";"Berufe Textiltechnik (o.Spez.)-hoch kompl.Tät.";"J"
"2811";"Berufe Textilgestaltung";"J"
"28112";"Berufe Textilgestaltung-fachl.ausg.Tät.";"J"
"28113";"Berufe Textilgestaltung-kompl.Spez.tät.";"J"
"28114";"Berufe Textilgestaltung-hoch kompl.Tät.";"J"
"2812";"Berufe Textilherstellung";"J"
"28122";"Berufe Textilherstellung-fachl.ausg.Tät.";"J"
"28123";"Berufe Textilherstellung-kompl.Spez.tät.";"J"
"2813";"Berufe Garn- & Seilherstellung";"J"
"28132";"Berufe Garn- & Seilherstellung-fachl.ausg.Tät.";"J"
"28133";"Berufe Garn- & Seilherstellung-kompl.Spez.tät.";"J"
"2814";"Berufe Textilveredlung";"J"
"28142";"Berufe Textilveredlung-fachl.ausg.Tät.";"J"
"28143";"Berufe Textilveredlung-kompl.Spez.tät.";"J"
"2819";"Aufsichts- & Führungskr.-Textiltechnik & -produktion";"J"
"28193";"Aufsichtskr.-Textiltechnik & -produktion";"J"
"28194";"Führungskr.-Textiltechnik & -produktion";"J"
"282";"Textilverarbeitung";"J"
"2821";"Berufe Modedesign";"J"
"28212";"Berufe Modedesign-fachl.ausg.Tät.";"J"
"28213";"Berufe Modedesign-kompl.Spez.tät.";"J"
"28214";"Berufe Modedesign-hoch kompl.Tät.";"J"
"2822";"Berufe Bekleidungs-, Hut- & Mützenherstell.";"J"
"28221";"Berufe Bekleidungs-, Hut- & Mützenherstell.-Helf./Anlerntät.";"J"
"28222";"Berufe Bekleidungs-, Hut- & Mützenherstell.-fachl.ausg.Tät.";"J"
"28223";"Berufe Bekleidungs-, Hut- & Mützenherstell.-kompl.Spez.tät.";"J"
"28224";"Berufe Bekleidungs-, Hut- & Mützenherstell.-hoch kompl.Tät.";"J"
"2823";"Tech. Konfektionäre/innen, Segelmacher/innen";"J"
"28232";"Tech. Konfektionäre/innen, Segelmacher/innen-fachl.ausg.Tät.";"J"
"2824";"Berufe Polsterei & Fahrzeuginnenausstattung";"J"
"28242";"Berufe Polsterei & Fahrzeuginnenausstattung-fachl.ausg.Tät.";"J"
"2829";"Aufsichts- & Führungskr.-Textilverarbeitung";"J"
"28293";"Aufsichtskr.-Textilverarbeitung";"J"
"28294";"Führungskr.-Textilverarbeitung";"J"
"283";"Leder-, Pelzherstellung & -verarbeitung";"J"
"2830";"Berufe Leder-,Pelzherst.&-verarb. (o.Spez.)";"J"
"28301";"Berufe Leder-,Pelzherst.&-verarb. (o.Spez.)-Helf./Anlerntät.";"J"
"2831";"Berufe Lederherstellung";"J"
"28312";"Berufe Lederherstellung-fachl.ausg.Tät.";"J"
"28313";"Berufe Lederherstellung-kompl.Spez.tät.";"J"
"28314";"Berufe Lederherstellung-hoch kompl.Tät.";"J"
"2832";"Berufe Sattlerei & Herstell. Lederutensilien";"J"
"28322";"Berufe Sattlerei & Herstell. Lederutensilien-fachl.ausg.Tät.";"J"
"2833";"Berufe Schuhherstellung";"J"
"28332";"Berufe Schuhherstellung-fachl.ausg.Tät.";"J"
"28333";"Berufe Schuhherstellung-kompl.Spez.tät.";"J"
"2834";"Berufe Pelzbe- & -verarbeitung";"J"
"28342";"Berufe Pelzbe- & -verarbeitung-fachl.ausg.Tät.";"J"
"28343";"Berufe Pelzbe- & -verarbeitung-kompl.Spez.tät.";"J"
"2839";"Aufsichts- & Führungskr.-Leder-, Pelzherstell. & -verarbeit.";"J"
"28393";"Aufsichtskr.-Leder-, Pelzherstell. & -verarbeit.";"J"
"28394";"Führungskr.-Leder-, Pelzherstell. & -verarbeit.";"J"
"29";"Lebensmittelherstellung & -verarbeitung";"J"
"291";"Getränkeherstellung";"J"
"2910";"Berufe Getränkeherstellung (o.Spez.)";"J"
"29102";"Berufe Getränkeherstellung (o.Spez.)-fachl.ausg.Tät.";"J"
"29103";"Berufe Getränkeherstellung (o.Spez.)-kompl.Spez.tät.";"J"
"29104";"Berufe Getränkeherstellung (o.Spez.)-hoch kompl.Tät.";"J"
"2911";"Brauer/innen & Mälzer/innen";"J"
"29112";"Brauer/innen & Mälzer/innen-fachl.ausg.Tät.";"J"
"29113";"Brauer/innen & Mälzer/innen-kompl.Spez.tät.";"J"
"29114";"Brauer/innen & Mälzer/innen-hoch kompl.Tät.";"J"
"2912";"Weinküfer/innen";"J"
"29122";"Weinküfer/innen-fachl.ausg.Tät.";"J"
"29123";"Weinküfer/innen-kompl.Spez.tät.";"J"
"2913";"Brenner/innen & Destillateure/-innen";"J"
"29132";"Brenner/innen & Destillateure/-innen-fachl.ausg.Tät.";"J"
"29133";"Brenner/innen & Destillateure/-innen-kompl.Spez.tät.";"J"
"29134";"Brenner/innen & Destillateure/-innen-hoch kompl.Tät.";"J"
"2914";"Berufe Fruchtsafttechnik";"J"
"29142";"Berufe Fruchtsafttechnik-fachl.ausg.Tät.";"J"
"29143";"Berufe Fruchtsafttechnik-kompl.Spez.tät.";"J"
"2915";"Nahrungsmittel- & Getränkekoster/innen";"J"
"29152";"Nahrungsmittel- & Getränkekoster/innen-fachl.ausg.Tät.";"J"
"2919";"Aufsichts- & Führungskr.-Getränkeherstellung";"J"
"29193";"Aufsichtskr.-Getränkeherstellung";"J"
"29194";"Führungskr.-Getränkeherstellung";"J"
"292";"Lebensmittel- & Genussmittelherstellung";"J"
"2920";"Berufe Lebensmittelherstellung (o.Spez.)";"J"
"29201";"Berufe Lebensmittelherstellung (o.Spez.)-Helf./Anlerntät.";"J"
"29202";"Berufe Lebensmittelherstellung (o.Spez.)-fachl.ausg.Tät.";"J"
"29203";"Berufe Lebensmittelherstellung (o.Spez.)-kompl.Spez.tät.";"J"
"29204";"Berufe Lebensmittelherstellung (o.Spez.)-hoch kompl.Tät.";"J"
"2921";"Berufe Mühlenprodukt- & Futtermittelherst.";"J"
"29212";"Berufe Mühlenprodukt- & Futtermittelherst.-fachl.ausg.Tät.";"J"
"29213";"Berufe Mühlenprodukt- & Futtermittelherst.-kompl.Spez.tät.";"J"
"2922";"Berufe Back- & Konditoreiwarenherstellung";"J"
"29222";"Berufe Back- & Konditoreiwarenherstellung-fachl.ausg.Tät.";"J"
"29223";"Berufe Back- & Konditoreiwarenherstellung-kompl.Spez.tät.";"J"
"2923";"Berufe Fleischverarbeitung";"J"
"29232";"Berufe Fleischverarbeitung-fachl.ausg.Tät.";"J"
"29233";"Berufe Fleischverarbeitung-kompl.Spez.tät.";"J"
"2924";"Berufe Fischverarbeitung";"J"
"29242";"Berufe Fischverarbeitung-fachl.ausg.Tät.";"J"
"29243";"Berufe Fischverarbeitung-kompl.Spez.tät.";"J"
"2925";"Berufe Milchproduktherstellung";"J"
"29252";"Berufe Milchproduktherstellung-fachl.ausg.Tät.";"J"
"29253";"Berufe Milchproduktherstellung-kompl.Spez.tät.";"J"
"2926";"Berufe Süßwarenherstellung";"J"
"29262";"Berufe Süßwarenherstellung-fachl.ausg.Tät.";"J"
"29263";"Berufe Süßwarenherstellung-kompl.Spez.tät.";"J"
"2927";"Berufe Tabakwarenherstellung";"J"
"29272";"Berufe Tabakwarenherstellung-fachl.ausg.Tät.";"J"
"29273";"Berufe Tabakwarenherstellung-kompl.Spez.tät.";"J"
"2928";"Berufe Lebensmittelherst. (sonst.spez.Tät.)";"J"
"29282";"Berufe Lebensmittelherst. (sonst.spez.Tät.)-fachl.ausg.Tät.";"J"
"29283";"Berufe Lebensmittelherst. (sonst.spez.Tät.)-kompl.Spez.tät.";"J"
"29284";"Berufe Lebensmittelherst. (sonst.spez.Tät.)-hoch kompl.Tät.";"J"
"2929";"Aufsichts- & Führungskr.-Lebensmittel- & Genussmittelherst.";"J"
"29293";"Aufsichtskr.-Lebensmittel- & Genussmittelherst.";"J"
"29294";"Führungskr.-Lebensmittel- & Genussmittelherst.";"J"
"293";"Speisenzubereitung";"J"
"2930";"Köche/Köchinnen (o.Spez.)";"J"
"29301";"Köche/Köchinnen (o.Spez.)-Helf./Anlerntät.";"J"
"29302";"Köche/Köchinnen (o.Spez.)-fachl.ausg.Tät.";"J"
"2931";"Vor-, Kalt- & Süßspeisenköche/-köchinnen";"J"
"29312";"Vor-, Kalt- & Süßspeisenköche/-köchinnen-fachl.ausg.Tät.";"J"
"2932";"Grill-, Braten- & Fischköche/-köchinnen";"J"
"29322";"Grill-, Braten- & Fischköche/-köchinnen-fachl.ausg.Tät.";"J"
"2938";"Köche/Köchinnen (sonst.spez.Tät.)";"J"
"29382";"Köche/Köchinnen (sonst.spez.Tät.)-fachl.ausg.Tät.";"J"
"2939";"Aufsichts- & Führungskr.-Speisenzubereitung";"J"
"29393";"Aufsichtskr.-Speisenzubereitung";"J"
"29394";"Führungskr.-Speisenzubereitung";"J"
"3";"Bau, Architektur, Vermessung & Gebäudetechnik";"J"
"31";"Bauplanungs-, Architektur- & Vermessungsberufe";"J"
"311";"Bauplanung & -überwachung, Architektur";"J"
"3110";"Berufe Bauplanung & -überwachung (o.Spez.)";"J"
"31102";"Berufe Bauplanung & -überwachung (o.Spez.)-fachl.ausg.Tät.";"J"
"31103";"Berufe Bauplanung & -überwachung (o.Spez.)-kompl.Spez.tät.";"J"
"31104";"Berufe Bauplanung & -überwachung (o.Spez.)-hoch kompl.Tät.";"J"
"3111";"Berufe Architektur";"J"
"31114";"Berufe Architektur-hoch kompl.Tät.";"J"
"3112";"Berufe Stadt- & Raumplanung";"J"
"31124";"Berufe Stadt- & Raumplanung-hoch kompl.Tät.";"J"
"3113";"Berufe Bauplanung Verkehrswege & -anlagen";"J"
"31132";"Berufe Bauplanung Verkehrswege & -anlagen-fachl.ausg.Tät.";"J"
"31133";"Berufe Bauplanung Verkehrswege & -anlagen-kompl.Spez.tät.";"J"
"31134";"Berufe Bauplanung Verkehrswege & -anlagen-hoch kompl.Tät.";"J"
"3114";"Berufe Wasserwirtschaft";"J"
"31142";"Berufe Wasserwirtschaft-fachl.ausg.Tät.";"J"
"31143";"Berufe Wasserwirtschaft-kompl.Spez.tät.";"J"
"31144";"Berufe Wasserwirtschaft-hoch kompl.Tät.";"J"
"3115";"Berufe Bauwerkserhaltung & -erneuerung";"J"
"31152";"Berufe Bauwerkserhaltung & -erneuerung-fachl.ausg.Tät.";"J"
"31153";"Berufe Bauwerkserhaltung & -erneuerung-kompl.Spez.tät.";"J"
"31154";"Berufe Bauwerkserhaltung & -erneuerung-hoch kompl.Tät.";"J"
"3116";"Bausachverständige & Baukontrolleure/-innen";"J"
"31163";"Bausachverständige & Baukontrolleure/-innen-kompl.Spez.tät.";"J"
"31164";"Bausachverständige & Baukontrolleure/-innen-hoch kompl.Tät.";"J"
"3117";"Berufe Bauabrechnung & -kalkulation";"J"
"31173";"Berufe Bauabrechnung & -kalkulation-kompl.Spez.tät.";"J"
"31174";"Berufe Bauabrechnung & -kalkulation-hoch kompl.Tät.";"J"
"3119";"Aufsichts- & Führungskr.-Bauplanung &-überwach., Architektur";"J"
"31193";"Aufsichtskr.-Bauplanung &-überwach., Architektur";"J"
"31194";"Führungskr.-Bauplanung &-überwach., Architektur";"J"
"312";"Vermessung & Kartografie";"J"
"3121";"Berufe Vermessungstechnik";"J"
"31212";"Berufe Vermessungstechnik-fachl.ausg.Tät.";"J"
"31213";"Berufe Vermessungstechnik-kompl.Spez.tät.";"J"
"31214";"Berufe Vermessungstechnik-hoch kompl.Tät.";"J"
"3122";"Berufe Kartografie";"J"
"31222";"Berufe Kartografie-fachl.ausg.Tät.";"J"
"31223";"Berufe Kartografie-kompl.Spez.tät.";"J"
"31224";"Berufe Kartografie-hoch kompl.Tät.";"J"
"32";"Hoch- & Tiefbauberufe";"J"
"321";"Hochbau";"J"
"3210";"Berufe Hochbau (o.Spez.)";"J"
"32101";"Berufe Hochbau (o.Spez.)-Helf./Anlerntät.";"J"
"32102";"Berufe Hochbau (o.Spez.)-fachl.ausg.Tät.";"J"
"32103";"Berufe Hochbau (o.Spez.)-kompl.Spez.tät.";"J"
"32104";"Berufe Hochbau (o.Spez.)-hoch kompl.Tät.";"J"
"3211";"Berufe Beton- & Stahlbetonbau";"J"
"32112";"Berufe Beton- & Stahlbetonbau-fachl.ausg.Tät.";"J"
"32113";"Berufe Beton- & Stahlbetonbau-kompl.Spez.tät.";"J"
"3212";"Berufe Maurerhandwerk";"J"
"32122";"Berufe Maurerhandwerk-fachl.ausg.Tät.";"J"
"32123";"Berufe Maurerhandwerk-kompl.Spez.tät.";"J"
"3213";"Berufe Schornsteinbau";"J"
"32132";"Berufe Schornsteinbau-fachl.ausg.Tät.";"J"
"3214";"Berufe Dachdeckerei";"J"
"32142";"Berufe Dachdeckerei-fachl.ausg.Tät.";"J"
"3215";"Berufe Fassadenbau";"J"
"32152";"Berufe Fassadenbau-fachl.ausg.Tät.";"J"
"3216";"Berufe Gerüstbau";"J"
"32162";"Berufe Gerüstbau-fachl.ausg.Tät.";"J"
"3217";"Berufe Bauwerksabbruch";"J"
"32172";"Berufe Bauwerksabbruch-fachl.ausg.Tät.";"J"
"3219";"Aufsichtskr.-Hochbau";"J"
"32193";"Aufsichtskr.-Hochbau";"J"
"322";"Tiefbau";"J"
"3220";"Berufe Tiefbau (o.Spez.)";"J"
"32201";"Berufe Tiefbau (o.Spez.)-Helf./Anlerntät.";"J"
"32202";"Berufe Tiefbau (o.Spez.)-fachl.ausg.Tät.";"J"
"32203";"Berufe Tiefbau (o.Spez.)-kompl.Spez.tät.";"J"
"32204";"Berufe Tiefbau (o.Spez.)-hoch kompl.Tät.";"J"
"3221";"Pflasterer/Pflasterinnen & Steinsetzer/innen";"J"
"32212";"Pflasterer/Pflasterinnen & Steinsetzer/innen-fachl.ausg.Tät.";"J"
"3222";"Berufe Straßen- & Asphaltbau";"J"
"32222";"Berufe Straßen- & Asphaltbau-fachl.ausg.Tät.";"J"
"32223";"Berufe Straßen- & Asphaltbau-kompl.Spez.tät.";"J"
"32224";"Berufe Straßen- & Asphaltbau-hoch kompl.Tät.";"J"
"3223";"Berufe Gleisbau";"J"
"32232";"Berufe Gleisbau-fachl.ausg.Tät.";"J"
"32233";"Berufe Gleisbau-kompl.Spez.tät.";"J"
"3224";"Berufe Brunnenbau";"J"
"32242";"Berufe Brunnenbau-fachl.ausg.Tät.";"J"
"32243";"Berufe Brunnenbau-kompl.Spez.tät.";"J"
"3225";"Berufe Kanal- & Tunnelbau";"J"
"32252";"Berufe Kanal- & Tunnelbau-fachl.ausg.Tät.";"J"
"32253";"Berufe Kanal- & Tunnelbau-kompl.Spez.tät.";"J"
"3226";"Berufe Kultur- & Wasserbau";"J"
"32262";"Berufe Kultur- & Wasserbau-fachl.ausg.Tät.";"J"
"32263";"Berufe Kultur- & Wasserbau-kompl.Spez.tät.";"J"
"32264";"Berufe Kultur- & Wasserbau-hoch kompl.Tät.";"J"
"3229";"Aufsichtskr.-Tiefbau";"J"
"32293";"Aufsichtskr.-Tiefbau";"J"
"33";"(Innen-)Ausbauberufe";"J"
"331";"Bodenverlegung";"J"
"3310";"Berufe Bodenverlegung (o.Spez.)";"J"
"33101";"Berufe Bodenverlegung (o.Spez.)-Helf./Anlerntät.";"J"
"33102";"Berufe Bodenverlegung (o.Spez.)-fachl.ausg.Tät.";"J"
"3311";"Berufe Fliesen-, Platten- & Mosaikverlegung";"J"
"33112";"Berufe Fliesen-, Platten- & Mosaikverlegung-fachl.ausg.Tät.";"J"
"3312";"Berufe Estrich- & Terrazzoverlegung";"J"
"33122";"Berufe Estrich- & Terrazzoverlegung-fachl.ausg.Tät.";"J"
"3313";"Berufe Parkettverlegung";"J"
"33132";"Berufe Parkettverlegung-fachl.ausg.Tät.";"J"
"33133";"Berufe Parkettverlegung-kompl.Spez.tät.";"J"
"3319";"Aufsichtskr.-Bodenverlegung";"J"
"33193";"Aufsichtskr.-Bodenverlegung";"J"
"332";"Maler-&Lackier-,Stuckateurarb., Bauwerkab., Holz-&Bautensch.";"J"
"3321";"Berufe Maler- & Lackiererarbeiten";"J"
"33211";"Berufe Maler- & Lackiererarbeiten-Helf./Anlerntät.";"J"
"33212";"Berufe Maler- & Lackiererarbeiten-fachl.ausg.Tät.";"J"
"33213";"Berufe Maler- & Lackiererarbeiten-kompl.Spez.tät.";"J"
"3322";"Berufe Stuckateurarbeiten";"J"
"33222";"Berufe Stuckateurarbeiten-fachl.ausg.Tät.";"J"
"33223";"Berufe Stuckateurarbeiten-kompl.Spez.tät.";"J"
"3323";"Berufe Bauwerksabdichtung";"J"
"33232";"Berufe Bauwerksabdichtung-fachl.ausg.Tät.";"J"
"33233";"Berufe Bauwerksabdichtung-kompl.Spez.tät.";"J"
"3324";"Berufe Holz- & Bautenschutz";"J"
"33242";"Berufe Holz- & Bautenschutz-fachl.ausg.Tät.";"J"
"33243";"Berufe Holz- & Bautenschutz-kompl.Spez.tät.";"J"
"3329";"Aufsichtskr.-Maler-,Stuckateurarb.,Bauwerksab.,Holz&Bautens.";"J"
"33293";"Aufsichtskr.-Maler-,Stuckateurarb.,Bauwerksab.,Holz&Bautens.";"J"
"333";"Aus -& Trockenb.,Isol.,Zimmer.,Glaser.,Rolllad.-&Jalousieb.";"J"
"3330";"Berufe Aus- & Trockenbau (o.Spez.)";"J"
"33301";"Berufe Aus- & Trockenbau (o.Spez.)-Helf./Anlerntät.";"J"
"33302";"Berufe Aus- & Trockenbau (o.Spez.)-fachl.ausg.Tät.";"J"
"33303";"Berufe Aus- & Trockenbau (o.Spez.)-kompl.Spez.tät.";"J"
"3331";"Berufe Isolierung";"J"
"33312";"Berufe Isolierung-fachl.ausg.Tät.";"J"
"3332";"Berufe Zimmerei";"J"
"33322";"Berufe Zimmerei-fachl.ausg.Tät.";"J"
