"Kennziffer";"Berufsgruppe";"Gültig"
"11603";"Berufe Weinbau-kompl.Spez.tät.";"J"
"11604";"Berufe Weinbau-hoch kompl.Tät.";"J"
"1169";"Aufsichts- & Führungskr.-Weinbau";"J"
"11693";"Aufsichtskr.-Weinbau";"J"
"11694";"Führungskr.-Weinbau";"J"
"117";"Forst- & Jagdwirtschaft, Landschaftspflege";"J"
"1171";"Berufe Forstwirtschaft";"J"
"11711";"Berufe Forstwirtschaft-Helf./Anlerntät.";"J"
"11712";"Berufe Forstwirtschaft-fachl.ausg.Tät.";"J"
"11713";"Berufe Forstwirtschaft-kompl.Spez.tät.";"J"
"11714";"Berufe Forstwirtschaft-hoch kompl.Tät.";"J"
"1172";"Berufe Natur- & Landschaftspflege";"J"
"11722";"Berufe Natur- & Landschaftspflege-fachl.ausg.Tät.";"J"
"11723";"Berufe Natur- & Landschaftspflege-kompl.Spez.tät.";"J"
"11724";"Berufe Natur- & Landschaftspflege-hoch kompl.Tät.";"J"
"1173";"Berufe Jagdwirtschaft & Wildhege";"J"
"11732";"Berufe Jagdwirtschaft & Wildhege-fachl.ausg.Tät.";"J"
"1174";"Sammeln & Gewinnen v.Pflanz.& and.Naturprod.";"J"
"11742";"Sammeln & Gewinnen v.Pflanz.& and.Naturprod.-fachl.ausg.Tät.";"J"
"1179";"Aufsichts- & Führungskr.-Forst- & Jagdw., Landschaftspflege";"J"
"11793";"Aufsichtskr.-Forst- & Jagdw., Landschaftspflege";"J"
"11794";"Führungskr.-Forst- & Jagdw., Landschaftspflege";"J"
"12";"Gartenbauberufe & Floristik";"J"
"121";"Gartenbau";"J"
"1210";"Berufe Gartenbau (o.Spez.)";"J"
"12101";"Berufe Gartenbau (o.Spez.)-Helf./Anlerntät.";"J"
"12102";"Berufe Gartenbau (o.Spez.)-fachl.ausg.Tät.";"J"
"12103";"Berufe Gartenbau (o.Spez.)-kompl.Spez.tät.";"J"
"12104";"Berufe Gartenbau (o.Spez.)-hoch kompl.Tät.";"J"
"1211";"Berufe Obst- & Gemüsebau";"J"
"12112";"Berufe Obst- & Gemüsebau-fachl.ausg.Tät.";"J"
"12113";"Berufe Obst- & Gemüsebau-kompl.Spez.tät.";"J"
"1212";"Berufe Baumsch., Staudengärt.&Zierpflanzenb.";"J"
"12122";"Berufe Baumsch., Staudengärt.&Zierpflanzenb.-fachl.ausg.Tät.";"J"
"12123";"Berufe Baumsch., Staudengärt.&Zierpflanzenb.-kompl.Spez.tät.";"J"
"1213";"Berufe Friedhofsgärtnerei";"J"
"12132";"Berufe Friedhofsgärtnerei-fachl.ausg.Tät.";"J"
"12133";"Berufe Friedhofsgärtnerei-kompl.Spez.tät.";"J"
"1214";"Berufe Garten-, Landschafts- & Sportplatzbau";"J"
"12142";"Berufe Garten-, Landschafts- & Sportplatzbau-fachl.ausg.Tät.";"J"
"12143";"Berufe Garten-, Landschafts- & Sportplatzbau-kompl.Spez.tät.";"J"
"12144";"Berufe Garten-, Landschafts- & Sportplatzbau-hoch kompl.Tät.";"J"
"1219";"Aufsichts- & Führungskr.-Gartenbau";"J"
"12193";"Aufsichtskr.-Gartenbau";"J"
"12194";"Führungskr.-Gartenbau";"J"
"122";"Floristik";"J"
"1220";"Berufe Floristik";"J"
"12202";"Berufe Floristik-fachl.ausg.Tät.";"J"
"12203";"Berufe Floristik-kompl.Spez.tät.";"J"
"1229";"Aufsichts- & Führungskr.-Floristik";"J"
"12293";"Aufsichtskr.-Floristik";"J"
"12294";"Führungskr.-Floristik";"J"
"2";"Rohstoffgewinnung, Produktion & Fertigung";"J"
"21";"Rohstoffgewin.&-aufber., Glas-& Keramikherst.&-verarbeitung";"J"
"211";"Berg-, Tagebau & Sprengtechnik";"J"
"2111";"Berufe Berg- & Tagebau";"J"
"21111";"Berufe Berg- & Tagebau-Helf./Anlerntät.";"J"
"21112";"Berufe Berg- & Tagebau-fachl.ausg.Tät.";"J"
"21113";"Berufe Berg- & Tagebau-kompl.Spez.tät.";"J"
"21114";"Berufe Berg- & Tagebau-hoch kompl.Tät.";"J"
"2112";"Berufe Sprengtechnik";"J"
"21122";"Berufe Sprengtechnik-fachl.ausg.Tät.";"J"
"21123";"Berufe Sprengtechnik-kompl.Spez.tät.";"J"
"21124";"Berufe Sprengtechnik-hoch kompl.Tät.";"J"
"2119";"Aufsichts- & Führungskr.-Berg- & Tagebau & Sprengtechnik";"J"
"21193";"Aufsichtskr.-Berg- & Tagebau & Sprengtechnik";"J"
"21194";"Führungskr.-Berg- & Tagebau & Sprengtechnik";"J"
"212";"Naturstein-& Mineralaufbereit. &-verarbeit. & Baustoffherst.";"J"
"2120";"Berufe Mineralaufb.&-ver.&Baustoffh.(o.Spez.)";"J"
"21201";"Berufe Mineralaufb.&-ver.&Baustoffh.(o.Spez.)-Helf./Anlernt.";"J"
"2121";"Berufe Naturstein- & Mineralaufbereitung";"J"
"21212";"Berufe Naturstein- & Mineralaufbereitung-fachl.ausg.Tät.";"J"
"21213";"Berufe Naturstein- & Mineralaufbereitung-kompl.Spez.tät.";"J"
"2122";"Berufe Baustoffherstellung";"J"
"21222";"Berufe Baustoffherstellung-fachl.ausg.Tät.";"J"
"21223";"Berufe Baustoffherstellung-kompl.Spez.tät.";"J"
"2123";"Berufe Steinmetztechnik";"J"
"21232";"Berufe Steinmetztechnik-fachl.ausg.Tät.";"J"
"21233";"Berufe Steinmetztechnik-kompl.Spez.tät.";"J"
"2129";"Aufsichtskr.-Naturstein-&Mineralaufber.&-verarb.&Baustoffh.";"J"
"21293";"Aufsichtskr.-Naturstein-&Mineralaufber.&-verarb.&Baustoffh.";"J"
"213";"Industrielle Glasherstellung & -verarbeitung";"J"
"2131";"Berufe Glasherstellung";"J"
"21311";"Berufe Glasherstellung-Helf./Anlerntät.";"J"
"21312";"Berufe Glasherstellung-fachl.ausg.Tät.";"J"
"21313";"Berufe Glasherstellung-kompl.Spez.tät.";"J"
"2132";"Berufe Glasapparatebau";"J"
"21322";"Berufe Glasapparatebau-fachl.ausg.Tät.";"J"
"21323";"Berufe Glasapparatebau-kompl.Spez.tät.";"J"
