"Funktionsbereich";"Bezeichnung";"Kurzbezeichnung";"Gültig von";"Gültig bis";"Berufung";"Befrist."
"Zusatzfunktion";"Maschinist/in Netzersatzanlage";"MaschNEA";01.07.1995;;"-- keine --";
"Zusatzfunktion";"Maschinist/in Pumpen";"MaschPu";01.07.1995;;"-- keine --";
"Zusatzfunktion";"Maschinist/in Richtfunk";"MaschRiFu";01.07.2021;;"-- keine --";
"Zusatzfunktion";"Maschinist/in Separationsanlage";"MaschSep";01.07.1995;;"-- keine --";
"Zusatzfunktion";"Maschinist/in Skimmer";"MaschSk";01.07.1997;;"-- keine --";
"Zusatzfunktion";"Maschinist/in Stromerzeuger";"MaschSEA";01.11.2003;;"-- keine --";
"Zusatzfunktion";"Maschinist/in TWAA";"MaschTWA";01.07.1995;;"-- keine --";
"Zusatzfunktion";"Nachweisführer/in";"NwFü";01.07.2019;;"-- keine --";
"Zusatzfunktion";"Ortungshelfer/in";"OrtHe";01.07.1995;;"-- keine --";
"Zusatzfunktion";"PE/PVC-Schweißer/in";"PSw";01.10.2003;;"-- keine --";
"Zusatzfunktion";"Pressesprecher/in Media Team";"PrSpr MT";01.07.2022;;"-- keine --";
"Zusatzfunktion";"Rechnungsführer/in";"RechFü";01.10.2003;;"-- keine --";
"Zusatzfunktion";"Redakteur/in";"Reda";01.07.2022;;"-- keine --";
"Zusatzfunktion";"Rettungshundeführer/in";"ReHuFü";01.07.1997;;"-- keine --";
"Zusatzfunktion";"Sachgebietsleiter/in 1-4";"S1-4 ";01.07.1995;;"-- keine --";
"Zusatzfunktion";"Sachgebietsleiter/in S 1";"S 1";01.07.2021;;"-- keine --";
"Zusatzfunktion";"Sachgebietsleiter/in S 2";"S 2";01.07.2021;;"-- keine --";
"Zusatzfunktion";"Sachgebietsleiter/in S 3";"S 3";01.07.2021;;"-- keine --";
"Zusatzfunktion";"Sachgebietsleiter/in S 4";"S 4";01.07.2021;;"-- keine --";
"Zusatzfunktion";"Sachgebietsleiter/in S 5";"S 5";01.07.2022;;"-- keine --";
"Zusatzfunktion";"Sachgebietsleiter/in S 6";"S 6";01.07.2021;;"-- keine --";
"Zusatzfunktion";"Sanitätshelfer/in";"SanHe";01.07.1995;;"-- keine --";
"Zusatzfunktion";"Schirrmeister/in (SEEBA)";"SM(SBA)";01.07.1997;;"-- keine --";
"Zusatzfunktion";"Schirrmeister/in (Zus)";"SM ";01.01.2004;31.12.2005;"nötig";60
"Zusatzfunktion";"Social-Media-Manager/in";"SoMeMa";01.07.2022;;"-- keine --";
"Zusatzfunktion";"Sprechfunker/in";"SprFu";01.07.1995;;"-- keine --";
"Zusatzfunktion";"Sprengberechtigte/r";"SpBe";01.07.1995;;"nötig";60
"Zusatzfunktion";"Sprenggehilfe/in";"SpGe";01.07.1995;;"-- keine --";
"Zusatzfunktion";"THW-Schweißer/in/Brennschneider/in";"SBr";01.10.2003;;"-- keine --";
"Zusatzfunktion";"Tauchsanitätshelfer/in";"TauSanHe";01.07.2022;;"-- keine --";
"Zusatzfunktion";"Technische/r Berater/in Bergung ABC";"TeBe ABC";01.01.2005;;"-- keine --";
"Zusatzfunktion";"Technische/r Berater/in Deichverteidigung";"TeBeDe";01.11.2020;;"-- keine --";
"Zusatzfunktion";"Technische/r Berater/in Ölschaden";"TeBe Öl";01.10.2003;;"-- keine --";
"Zusatzfunktion";"Technische/r Berater/in Ortung";"TeBe O";01.10.2003;;"-- keine --";
"Zusatzfunktion";"Technische/r Berater/in VOST";"TeBe VOST";01.07.2022;;"-- keine --";
"Zusatzfunktion";"Trinkwasser-Laborant/in";"TWLab";01.07.1995;;"-- keine --";
"Zusatzfunktion";"Verwaltungshelfer/in (Zus)";"VwHe ";01.01.2004;31.12.2005;"nötig";60
"Zusatzfunktion";"Videograf/in";"Video";01.07.2022;;"-- keine --";
