"Berufsgruppe";"Bezeichnung"
"302";"Metallurgie, Hüttenwesen (weiterführend)"
"403";"Meteorologe/Meteorologin"
"301";"Meteorologie (grundständig)"
"302";"Meteorologie (weiterführend)"
"403";"Mikrobiologe/-biologin"
"302";"Mikrobiologie (weiterführend)"
"302";"Mikroelektronik (weiterführend)"
"301";"Mikrotechnik, Mikrosystemtechnik (grundständig)"
"302";"Mikrotechnik, Mikrosystemtechnik (weiterführend)"
"101";"Mikrotechnologe/-technologin"
"101";"Milchtechnologe/-technologin"
"101";"Milchwirtschaftliche/r Laborant/in"
"401";"Milchwirtschaftliche/r Labormeister/in/Bachelor Professional im milchwirtschaftlichen Laborwesen"
"403";"Mineraloge/Mineralogin"
"205";"Missionar/in"
"700";"Mitarbeiter/in - Entwicklungszusammenarbeit"
"700";"Mitarbeiter/in - Kurverwaltung"
"700";"Mitarbeiter/in im Künstlerischen Betriebsbüro"
"700";"Mobile Developer"
"301";"Modedesign (grundständig)"
"302";"Modedesign (weiterführend)"
"403";"Modedesigner/in"
"700";"Model"
"401";"Modellbauermeister/in/Bachelor Professional im Modellbauer-Handwerk"
"105";"Moderator/in (Funk, Fernsehen)"
"101";"Modist/in"
"401";"Modistenmeister/in/Bachelor Professional im Modisten-Handwerk"
"403";"Molekularbiologe/-biologin"
"403";"Molekularmediziner/in"
"301";"Molekularwissenschaft (grundständig)"
"302";"Molekularwissenschaft (weiterführend)"
"401";"Molkereimeister/in/Bachelor Professional in Milchtechnologie"
"700";"Montageleiter/in (Bau)"
"700";"Montagemechaniker/in, Anlagenmonteur/in"
"700";"Montierer/in"
"403";"Motologe/Motologin"
"302";"Motologie (weiterführend)"
"205";"Motopäde/Motopädin"
"700";"Motorenmechaniker/in"
"700";"Multimediafachmann/-frau"
"403";"Museologe/Museologin"
"301";"Museologie (grundständig)"
"302";"Museologie (weiterführend)"
"700";"Museumsaufseher/in"
"700";"Museumspädagoge/-pädagogin"
"403";"Musical-Darsteller/in"
"403";"Musiker/in - Alte Musik"
"700";"Musiker/in - Country/Western"
"403";"Musiker/in - Instrumentalmusik"
"700";"Musiker/in - Internationale Folklore"
"403";"Musiker/in - Kirchenmusik"
"102";"Musiker/in - Kirchenmusik (Ausbildung)"
"403";"Musiker/in - Pop/Rock/Jazz"
"105";"Musiker/in - Pop/Rock/Jazz (Ausbildung)"
"700";"Musiker/in - Tanz-/Unterhaltungsmusik"
"700";"Musiker/in - Volkstümliche Musik"
"101";"Musikfachhändler/in"
"301";"Musikinstrumentenbau (grundständig)"
"302";"Musikinstrumentenbau (weiterführend)"
"403";"Musikinstrumentenbauer/in (Hochschule)"
"700";"Musikmanager/in"
"403";"Musikpädagoge/-pädagogin"
"301";"Musikpädagogik (grundständig)"
"302";"Musikpädagogik (weiterführend)"
"700";"Musikredakteur/in"
"301";"Musiktheater, Musical (grundständig)"
"302";"Musiktheater, Musical (weiterführend)"
"403";"Musiktherapeut/in"
"105";"Musiktherapeut/in (Ausbildung)"
"301";"Musiktherapie (grundständig)"
"302";"Musiktherapie (weiterführend)"
"301";"Musikwissenschaft (grundständig)"
"302";"Musikwissenschaft (weiterführend)"
"403";"Musikwissenschaftler/in"
"401";"Müllermeister/in/Bachelor Professional im Müller-Handwerk"
"301";"Nachhaltigkeitsmanagement (grundständig)"
"302";"Nachhaltigkeitsmanagement (weiterführend)"
"403";"Nachhaltigkeitsmanager/in"
"700";"Nachhilfelehrer/in"
"205";"Nageldesigner/in"
"301";"Nah- und Mitteloststudien (grundständig)"
"302";"Nah- und Mitteloststudien (weiterführend)"
"403";"Nahostwissenschaftler/in"
"301";"Nanowissenschaft (grundständig)"
"302";"Nanowissenschaft (weiterführend)"
"205";"Natur- und Landschaftspfleger/in"
"302";"Natur- und Wirkstoffchemie (weiterführend)"
"403";"Natur- und Wirkstoffchemiker/in"
"101";"Naturwerksteinmechaniker/in - Maschinenbearbeitungstechnik"
"101";"Naturwerksteinmechaniker/in - Schleiftechnik"
"101";"Naturwerksteinmechaniker/in - Steinmetztechnik"
"301";"Nautik (grundständig)"
"302";"Nautik (weiterführend)"
"401";"Nautiker/in (Fachschule)/Bachelor Professional in Technik"
"403";"Nautiker/in (Hochschule)"
"105";"Nautische/r Offiziersassistent/in"
"205";"Nautische/r Schiffsoffizier/in - Kleine Hochseefischerei"
"401";"Nautische/r Schiffsoffizier/in in der Großen Hochseefischerei/Bachelor Professional in Technik"
"401";"Nautische/r Schiffsoffizier/in/Kapitän/in in der Großen Hochseefischerei/Bachelor Professional in Technik"
"205";"Nautische/r Schiffsoffizier/in/Kapitän/in in der kleinen Hochseefischerei"
"205";"Nautische/r Wachoffizier/in"
"403";"Neogräzist/in"
"301";"Neogräzistik (grundständig)"
"302";"Neogräzistik (weiterführend)"
"401";"Netzmeister/in/Bachelor Professional für Verteilnetze"
"205";"Netzwerk-Servicetechniker/in"
"302";"Neue und zeitgenössische Musik (weiterführend)"
"301";"Neurowissenschaft (grundständig)"
"302";"Neurowissenschaft (weiterführend)"
"403";"Neurowissenschaftler/in"
"403";"Niederlandist/in"
"301";"Niederlandistik (grundständig)"
"302";"Niederlandistik (weiterführend)"
"700";"Niederlassungsleiter/in"
"700";"Night-Auditor"
"700";"Normungsexperte/-expertin"
"403";"Notar/in"
"101";"Notarfachangestellte/r"
"102";"Notfallsanitäter/in"
"302";"Nukleartechnik (weiterführend)"
"700";"OP-Manager/in"
"101";"Oberflächenbeschichter/in"
"700";"Objektleiter/in (Gebäudereinigung)"
"700";"Objektverwalter/in (Immobilien)"
"101";"Ofen- und Luftheizungsbauer/in"
"401";"Ofen- und Luftheizungsbauermeister/in/Bachelor Professional im Ofen- und Luftheizungsbauer-Handwerk"
"204";"Office-Manager/in"
"600";"Offizier/in - Geoinformationsdienst"
"600";"Offizier/in - Militärfachlicher Dienst"
"600";"Offizier/in - Militärmusikdienst"
"600";"Offizier/in - Sanitätsdienst"
"600";"Offizier/in - Truppendienst"
"700";"Onlinemarketing-Manager/in"
"700";"Onlineredakteur/in"
"102";"Operationstechnische/r Assistent/in"
"700";"Operator/in (EDV)"
"205";"Optometrist/in"
"700";"Orchesterdirektor/in/Orchestergeschäftsführer/in"
"700";"Orchesterinspektor/in/Orchestersekretär/in"
"700";"Orchesterwart/in"
"700";"Ordner/in bei Veranstaltungen"
"401";"Orgel- und Harmoniumbauermeister/in/Bachelor Professional im Orgel- und Harmoniumbauer-Handwerk"
"101";"Orgelbauer/in - Orgelbau"
"101";"Orgelbauer/in - Pfeifenbau"
"102";"Orthoptist/in"
"301";"Orthopädie-, Rehatechnik (grundständig)"
"302";"Orthopädie-, Rehatechnik (weiterführend)"
"101";"Orthopädieschuhmacher/in"
"401";"Orthopädieschuhmachermeister/in/Bachelor Professional im Orthopädieschuhmacher-Handwerk"
"101";"Orthopädietechnik-Mechaniker/in"
"401";"Orthopädietechnikermeister/in/Bachelor Professional im Orthopädietechniker-Handwerk"
"700";"Osteopath/in"
"403";"Ozeanograf/in"
"204";"PC-Fachkraft - kaufmännisch"
"700";"POS-Manager/in"
"700";"PR-Fachkraft"
"101";"Packmitteltechnologe/-technologin"
"403";"Paläontologe/Paläontologin"
"700";"Pannendienstfahrer/in"
"700";"Pantomime/Pantomimin"
"301";"Papiertechnik (grundständig)"
"302";"Papiertechnik (weiterführend)"
"101";"Papiertechnologe/-technologin"
"700";"Parkanlagen-, Flurwächter/in"
"101";"Parkettleger/in"
"401";"Parkettlegermeister/in/Bachelor Professional im Parkettleger-Handwerk"
"700";"Parlamentsstenograf/in"
"700";"Parodist/in"
"700";"Pastoralreferent/in"
"404";"Patentanwalt/-anwältin"
"101";"Patentanwaltsfachangestellte/r"
"403";"Patentingenieur/in"
"302";"Patentingenieurwesen (weiterführend)"
"700";"Patientenmanager/in"
"700";"Patissier/Patissière"
"700";"Peer-Berater/in"
"101";"Pelzveredler/in"
"700";"Performance-Marketing-Manager/in"
"700";"Personalberater/in"
"101";"Personaldienstleistungskaufmann/-frau"
"700";"Personaldisponent/in"
"700";"Personalentwickler/in"
"301";"Personalmanagement, -dienstleistung (grundständig)"
"302";"Personalmanagement, -dienstleistung (weiterführend)"
"204";"Personalreferent/in"
"700";"Personalsachbearbeiter/in"
"700";"Personalvermittler/in"
"700";"Pferdepfleger/in"
"101";"Pferdewirt/in - Klassische Reitausbildung"
"101";"Pferdewirt/in - Pferdehaltung und Service"
"101";"Pferdewirt/in - Pferderennen"
"101";"Pferdewirt/in - Pferdezucht"
"101";"Pferdewirt/in - Spezialreitweisen"
"301";"Pferdewirtschaft (grundständig)"
"302";"Pferdewirtschaft (weiterführend)"
"403";"Pferdewirtschafter/in (Hochschule)"
"202";"Pferdewirtschaftsmeister/in - Klassische Reitausbildung"
"202";"Pferdewirtschaftsmeister/in - Pferdehaltung und Service"
"202";"Pferdewirtschaftsmeister/in - Pferderennen"
"202";"Pferdewirtschaftsmeister/in - Pferdezucht"
"202";"Pferdewirtschaftsmeister/in - Spezialreitweisen"
"101";"Pflanzentechnologe/-technologin"
"202";"Pflanzentechnologiemeister/in"
"700";"Pflasterer/Pflasterin"
"102";"Pflegeassistent/in"
"205";"Pflegeberater/in"
"205";"Pflegedienstleiter/in"
"205";"Pflegeexperte/-expertin - Stoma, Kontinenz und Wunde"
"102";"Pflegefachassistent/in / Pflegefachassistenzperson"
"102";"Pflegefachmann/-frau (Ausbildung)"
"403";"Pflegefachmann/-frau (Hochschule)"
"301";"Pflegemanagement, -wissenschaft (grundständig)"
"302";"Pflegemanagement, -wissenschaft (weiterführend)"
"301";"Pflegepraxis (grundständig)"
"403";"Pflegepädagoge/-pädagogin"
"205";"Pflegesachverständige/r"
"403";"Pflegewissenschaftler/in"
"101";"Pharmakant/in"
"205";"Pharmareferent/in"
"301";"Pharmatechnik (grundständig)"
"302";"Pharmatechnik (weiterführend)"
"403";"Pharmazeut/in"
"101";"Pharmazeutisch-kaufmännische/r Angestellte/r"
"102";"Pharmazeutisch-technische/r Assistent/in"
"301";"Pharmazie (Staatsexamen)"
"301";"Pharmazie (grundständig außer Staatsexamen)"
"302";"Pharmazie (weiterführend)"
"403";"Philosoph/in"
"301";"Philosophie, Ethik (grundständig)"
"302";"Philosophie, Ethik (weiterführend)"
"301";"Photonik, Optische Technologien (grundständig)"
"302";"Photonik, Optische Technologien (weiterführend)"
"301";"Physik (grundständig)"
"302";"Physik (weiterführend)"
"102";"Physikalisch-technische/r Assistent/in"
"403";"Physiker/in"
"301";"Physikingenieurwesen (grundständig)"
"302";"Physikingenieurwesen (weiterführend)"
"101";"Physiklaborant/in"
"102";"Physiotherapeut/in (Ausbildung)"
"301";"Physiotherapie (grundständig)"
"302";"Physiotherapie (weiterführend)"
"700";"Piercer/in"
"105";"Pilateslehrer/in"
"700";"Plakatierer/in"
"700";"Platzwart/in"
"205";"Pneumatik-Fachkraft"
"700";"Podcast-Produzent/in"
"102";"Podologe/Podologin"
"202";"Polier/in - Hochbau"
"202";"Polier/in - Tiefbau"
"301";"Politikwissenschaft (grundständig)"
"302";"Politikwissenschaft (weiterführend)"
"700";"Politische/r Berater/in"
"403";"Politologe/Politologin"
"503";"Polizeivollzugsbeamter/-beamtin (gehobener nichttechnischer Dienst)"
"504";"Polizeivollzugsbeamter/-beamtin (höherer Dienst)"
"502";"Polizeivollzugsbeamter/-beamtin (mittlerer nichttechnischer Dienst)"
"503";"Polizeivollzugsbeamter/-beamtin - Bundespolizei (gehobener nichttechnischer Dienst)"
"504";"Polizeivollzugsbeamter/-beamtin - Bundespolizei (höherer Dienst)"
"502";"Polizeivollzugsbeamter/-beamtin - Bundespolizei (mittlerer nichttechnischer Dienst)"
"101";"Polster- und Dekorationsnäher/in"
"101";"Polsterer/Polsterin"
"403";"Polymerchemiker/in"
"301";"Polymerwissenschaft (grundständig)"
"302";"Polymerwissenschaft (weiterführend)"
"204";"Praktische/r Betriebswirt/in"
"205";"Praxisanleiter/in - Medizinische Technologen/Technologinnen"
"205";"Praxisanleiter/in - Notfallsanitäter"
"205";"Praxisanleiter/in - Pflegeberufe"
"205";"Praxisassistent/in (nicht ärztlich)"
"700";"Praxismanager/in"
"700";"Pressesprecher/in"
"205";"Producer/in"
"700";"Product Owner"
"700";"Product-Lifecycle-Manager/in"
"301";"Produkt-, Industriedesign (grundständig)"
"302";"Produkt-, Industriedesign (weiterführend)"
"403";"Produktentwickler/in"
"205";"Produktentwickler/in (Mode)"
"301";"Produktentwicklung (grundständig)"
"302";"Produktentwicklung (weiterführend)"
"101";"Produktgestalter/in - Textil"
"700";"Produktingenieur/in"
"700";"Produktioner/in - Medien"
"700";"Produktionsassistent/in (Film/Fernsehen)"
"101";"Produktionsfachkraft Chemie"
"403";"Produktionsingenieur/in"
"205";"Produktionsleiter/in - Film und Fernsehen"
"101";"Produktionsmechaniker/in - Textil"
"301";"Produktionstechnik (grundständig)"
"302";"Produktionstechnik (weiterführend)"
"101";"Produktionstechnologe/-technologin"
"700";"Produktmanager/in"
"101";"Produktprüfer/in - Textil"
"101";"Produktveredler/in - Textil"
"700";"Professor/in - Hochschulen"
"700";"Programmatic-Advertising-Manager/in"
"700";"Projektassistent/in"
"700";"Projektierungstechniker/in (Elektro)"
"403";"Projektingenieur/in"
"700";"Projektleiter/in / Projektmanager/in"
"301";"Projektmanagement, -ingenieurwesen (grundständig)"
"302";"Projektmanagement, -ingenieurwesen (weiterführend)"
"700";"Promoter/in"
"700";"Prorektor/in / Vizepräsident/in"
"205";"Prozessmanager/in - Elektrotechnik"
"205";"Prozessmanager/in - Mikrotechnologie"
"205";"Prozessmanager/in - Produktionstechnologie"
"700";"Prozessmanager/in - RPA"
"102";"Präparationstechnische/r Assistent/in"
"101";"Präzisionswerkzeugmechaniker/in - Schneidwerkzeuge"
"101";"Präzisionswerkzeugmechaniker/in - Zerspanwerkzeuge"
"401";"Präzisionswerkzeugmechanikermeister/in/Bachelor Professional im Präzisionswerkzeugmechaniker-Handwerk"
"700";"Prüfarzt/-ärztin"
"205";"Prüfer/in von Luftfahrtgerät / Certifying Staff"
"700";"Prüfsachverständige/r - Eisenbahnbereich"
"101";"Prüftechnologe/-technologin Keramik"
"404";"Psychoanalytiker/in"
"403";"Psychologe/Psychologin"
"301";"Psychologie (grundständig)"
"302";"Psychologie (weiterführend)"
"205";"Psychologisch-technische/r Assistent/in"
"700";"Psychologische/r Berater/in"
"404";"Psychologische/r Psychotherapeut/in"
"700";"Psychoonkologe/-onkologin"
"302";"Psychosoziale Beratung und Therapie (weiterführend)"
"404";"Psychosoziale/r Prozessbegleiter/in"
"403";"Psychotherapeut/in"
"301";"Psychotherapie (grundständig)"
"302";"Psychotherapie (weiterführend)"
"301";"Public Relations, Kommunikationsmanagement (grundständig)"
"302";"Public Relations, Kommunikationsmanagement (weiterführend)"
"700";"Public-Affairs-Manager/in"
"403";"Public-Relations-Manager/in"
"105";"Public-Relations-Manager/in (Ausbildung)"
"403";"Puppenspieler/in (Hochschule)"
"700";"Purser/Purserette (Luftfahrt)"
"105";"Pyrotechniker/in"
"403";"Pädagoge/Pädagogin"
"700";"Pädagogisch-therapeutische/r Konduktor/in"
"301";"Pädagogische Psychologie (grundständig)"
"302";"Pädagogische Psychologie (weiterführend)"
"403";"Pädagogische/r Psychologe/Psychologin"
"205";"Qualitätsbeauftragte/r - Gesundheits-/Sozialwesen"
"205";"Qualitätsfachmann/-frau - Fertigungsprüftechnik"
"700";"Qualitätsingenieur/in"
"700";"Qualitätskontrolleur/in"
"302";"Qualitätsmanagement (weiterführend)"
"403";"Qualitätsmanager/in"
"700";"Qualitätssicherungstechniker/in"
"404";"REFA-Ingenieur/in (Industrial Engineering)"
"205";"REFA-Operations-Manager/in"
"205";"REFA-Techniker/in"
"700";"Rabbiner/in"
"205";"Radiologietechnologe/-technologin - neuroradiologische Bildgebung"
"205";"Radiologietechnologe/-technologin - radiologische Bildgebung und Intervention"
"700";"Ramp-Agent/in"
"700";"Ranger/in"
"700";"Rangierbegleiter/in"
"700";"Rating-Analyst/in"
"101";"Raumausstatter/in"
"401";"Raumausstattermeister/in/Bachelor Professional im Raumausstatter-Handwerk"
"104";"Raumausstatterwerker/in (§66 BBiG/§42r HwO)"
"301";"Rechnergestützte Naturwissenschaft, Computational Science (grundständig)"
"302";"Rechnergestützte Naturwissenschaft, Computational Science (weiterführend)"
"700";"Rechnungsprüfer/in"
"700";"Rechtliche/r Betreuer/in"
"403";"Rechtsanwalt/Rechtsanwältin"
"101";"Rechtsanwalts- und Notarfachangestellte/r"
"101";"Rechtsanwaltsfachangestellte/r"
"700";"Rechtsbeistand"
"503";"Rechtspfleger/in"
"700";"Rechtsschutzbeauftragte/r"
"301";"Rechtswissenschaft (Erste juristische Prüfung)"
"301";"Rechtswissenschaft (grundständig außer Erste juristische Prüfung)"
"302";"Rechtswissenschaft (weiterführend)"
"700";"Recruiter/in"
"105";"Redakteur/in"
"700";"Redaktionsassistent/in"
"700";"Redenschreiber/in"
"403";"Referent/in - klinische Studien (CRA)"
"301";"Regie (grundständig)"
"302";"Regie (weiterführend)"
"700";"Regieassistent/in - Film und Fernsehen"
"700";"Regieassistent/in - Theater"
"301";"Regionalmanagement (grundständig)"
"302";"Regionalmanagement (weiterführend)"
"301";"Regionalwissenschaft - Afrika (grundständig)"
"302";"Regionalwissenschaft - Afrika (weiterführend)"
"301";"Regionalwissenschaft - Asien (grundständig)"
"302";"Regionalwissenschaft - Asien (weiterführend)"
"301";"Regionalwissenschaft - Europa (grundständig)"
"302";"Regionalwissenschaft - Europa (weiterführend)"
"301";"Regionalwissenschaft - Lateinamerika (grundständig)"
"302";"Regionalwissenschaft - Lateinamerika (weiterführend)"
"301";"Regionalwissenschaft - Nordamerika (grundständig)"
"302";"Regionalwissenschaft - Nordamerika (weiterführend)"
"403";"Regionalwissenschaftler/in - Afrika-Studien"
"403";"Regionalwissenschaftler/in - Asien-Studien"
"403";"Regionalwissenschaftler/in - Europa-Studien"
"403";"Regionalwissenschaftler/in - Islam-Studien"
"403";"Regionalwissenschaftler/in - Lateinamerika-Studien"
"403";"Regionalwissenschaftler/in - Nordamerika-Studien"
"403";"Regisseur/in"
"700";"Registrator/in"
"700";"Regulatory-Affairs-Manager/in"
"700";"Regulierungsmanager/in"
"301";"Rehabilitations-, Sonderpädagogik (grundständig)"
"302";"Rehabilitations-, Sonderpädagogik (weiterführend)"
"403";"Rehabilitationspädagoge/-pädagogin"
"700";"Reiseleiter/in"
"700";"Reit- und Fahrlehrer/in (Pferdesport)"
"105";"Reitlehrer/in"
"205";"Reittherapeut/in"
"700";"Reklamationssachbearbeiter/in"
"700";"Rektor/in / Präsident/in"
"403";"Religionspädagoge/-pädagogin - evangelisch"
"403";"Religionspädagoge/-pädagogin - islamisch"
"403";"Religionspädagoge/-pädagogin - jüdische Gemeinden"
"403";"Religionspädagoge/-pädagogin - katholisch"
"301";"Religionspädagogik, Gemeindearbeit - Evangelische Gemeinden (grundständig)"
"302";"Religionspädagogik, Gemeindearbeit - Evangelische Gemeinden (weiterführend)"
"302";"Religionspädagogik, Gemeindearbeit - Freikirchliche Gemeinden (weiterführend)"
"301";"Religionspädagogik, Gemeindearbeit - Islamische Gemeinden (grundständig)"
"301";"Religionspädagogik, Gemeindearbeit - Jüdische Gemeinden (grundständig)"
"301";"Religionspädagogik, Gemeindearbeit - Katholische Gemeinden (grundständig)"
"301";"Religionswissenschaft (grundständig)"
"302";"Religionswissenschaft (weiterführend)"
"403";"Religionswissenschaftler/in"
"700";"Relocation-Specialist/-Manager/in"
"700";"Rentenberater/in"
"700";"Requirement-Manager/in"
"205";"Requisiteur/in"
"700";"Research-Manager/in"
"700";"Reservierungssachbearbeiter/in (Hotel)"
"700";"Resident Engineer"
"202";"Restaurantmeister/in"
"403";"Restaurator/in (Hochschule)"
"401";"Restaurator/in für Möbel und Holzobjekte/Bachelor Professional Technik"
"402";"Restaurator/in im Buchbinderhandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Gold- und Silberschmiedehandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Graveurhandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Holzbildhauerhandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Karosserie- und Fahrzeugbauerhandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Kraftfahrzeugtechnikerhandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Maler- und Lackiererhandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Maurer- und Betonbauerhandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Metallbauerhandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Metallbildnerhandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Orgel- und Harmoniumbauerhandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Parkettlegerhandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Raumausstatterhandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Steinmetz- und Steinbildhauerhandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Stuckateurhandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Tischlerhandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Uhrmacherhandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Vergolderhandwerk/Master Professional für Restaurierung im Handwerk"
"402";"Restaurator/in im Zimmererhandwerk/Master Professional für Restaurierung im Handwerk"
"301";"Restaurierung (grundständig)"
"302";"Restaurierung (weiterführend)"
"105";"Rettungshelfer/in"
"301";"Rettungsingenieurwesen (grundständig)"
"302";"Rettungsingenieurwesen (weiterführend)"
"105";"Rettungssanitäter/in"
"700";"Revenue-Manager/in"
"202";"Revierjagdmeister/in"
"101";"Revierjäger/in"
"700";"Revisor/in"
"301";"Rhetorik, Sprechwissenschaft (grundständig)"
"302";"Rhetorik, Sprechwissenschaft (weiterführend)"
"700";"Rhythmiklehrer/in"
"403";"Richter/in"
"302";"Risikomanagement (weiterführend)"
"403";"Risk-Manager/in"
"700";"Roboterprogrammierer/in"
"301";"Robotik, Autonome Systeme (grundständig)"
"302";"Robotik, Autonome Systeme (weiterführend)"
"700";"Rohrschweißer/in"
"700";"Rohrvorrichter/in"
"301";"Rohstoffingenieurwesen (grundständig)"
"302";"Rohstoffingenieurwesen (weiterführend)"
"101";"Rollladen- und Sonnenschutzmechatroniker/in"
"401";"Rollladen- und Sonnenschutztechnikermeister/in/Bachelor Professional im Rollladen- und Sonnenschutztechniker-Handwerk"
"403";"Romanist/in - Französisch"
"403";"Romanist/in - Italienisch"
"403";"Romanist/in - Portugiesisch"
"403";"Romanist/in - Rumänisch"
"403";"Romanist/in - Spanisch"
"301";"Romanistik (grundständig)"
"302";"Romanistik (weiterführend)"
"301";"Romanistik - Französisch (grundständig)"
"302";"Romanistik - Französisch (weiterführend)"
"301";"Romanistik - Italienisch (grundständig)"
"302";"Romanistik - Italienisch (weiterführend)"
"301";"Romanistik - Portugiesisch (grundständig)"
"302";"Romanistik - Portugiesisch (weiterführend)"
"301";"Romanistik - Spanisch (grundständig)"
"302";"Romanistik - Spanisch (weiterführend)"
"700";"Rooms-Division-Manager/in"
"700";"Röntgenhelfer/in"
"700";"SEA-Manager/in"
"700";"SEO-Manager/in"
"205";"SPS-Fachkraft"
"700";"SPS-Ingenieur/in"
"700";"Saaldiener/in"
"700";"Sachbearbeiter/in - Luftaufsicht"
"700";"Sales-Manager/in"
"301";"Sanitäts-, Rettungswesen (grundständig)"
"401";"Sattler- und Feintäschnermeister/in/Bachelor Professional im Sattler- und Feintäschner-Handwerk"
"101";"Sattler/in - Fahrzeugsattlerei"
"101";"Sattler/in - Feintäschnerei"
"101";"Sattler/in - Reitsportsattlerei"
"700";"Saunameister/in"
"700";"Schadensregulierer/in (Versicherung)"
"301";"Schauspiel (grundständig)"
"302";"Schauspiel (weiterführend)"
"403";"Schauspieler/in"
"102";"Schauspieler/in (Ausbildung)"
"700";"Schausteller/in"
"700";"Schichtführer/in"
"700";"Schienenfahrzeugreiniger/in"
"301";"Schiffbau, Meerestechnik (grundständig)"
"302";"Schiffbau, Meerestechnik (weiterführend)"
"101";"Schifffahrtskaufmann/-frau - Linienfahrt"
"101";"Schifffahrtskaufmann/-frau - Trampfahrt"
"301";"Schiffs-, Reedereimanagement, Hafenwirtschaft (grundständig)"
"302";"Schiffs-, Reedereimanagement, Hafenwirtschaft (weiterführend)"
"205";"Schiffsbetriebsoffizier/in - Nautik/Technik"
"301";"Schiffsbetriebstechnik (grundständig)"
"401";"Schiffsbetriebstechniker/in/Bachelor Professional in Technik"
"102";"Schiffsbetriebstechnische/r Assistent/in"
"700";"Schiffselektriker/in"
"700";"Schiffsführer/in (Binnenschifffahrt)"
"700";"Schiffsinspektor/in (Nautik/Technik)"
"205";"Schiffsmaschinist/in"
"101";"Schiffsmechaniker/in"
"700";"Schiffsreiniger/in"
"101";"Schilder- und Lichtreklamehersteller/in"
"401";"Schilder- und Lichtreklameherstellermeister/in/Bachelor Professional im Schilder- und Lichtreklamehersteller-Handwerk"
"700";"Schleusenwärter/in"
"301";"Schmuckdesign (grundständig)"
"302";"Schmuckdesign (weiterführend)"
"403";"Schmuckdesigner/in"
"104";"Schmuckwerker/in (§66 BBiG/§42r HwO)"
"700";"Schnellzeichner/in / Porträtzeichner/in"
"205";"Schnitt-, Entwurfs- und Fertigungsmodelleur/-direktrice"
"101";"Schornsteinfeger/in"
"401";"Schornsteinfegermeister/in/Bachelor Professional im Schornsteinfeger-Handwerk"
"105";"Schriftdolmetscher/in"
"401";"Schriftsetzermeister/in/Bachelor Professional im Schriftsetzer-Handwerk"
"101";"Schuhfertiger/in"
"401";"Schuhmachermeister/in/Bachelor Professional im Schuhmacher-Handwerk"
"700";"Schulbegleiter/in"
"700";"Schuldnerberater/in"
"700";"Schulleiter/in - Erwachsenenbildung"
"700";"Schulleiter/in - Musikschulen"
"700";"Schulleiter/in - Waldorfschule"
"700";"Schulleiter/in - allgemeinbildende Schulen"
"700";"Schulleiter/in - berufliche Schulen"
"700";"Schwangerschaftskonfliktberater/in"
"105";"Schweißer/in"
"404";"Schweißfachingenieur/in"
"205";"Schweißfachmann/-frau"
"205";"Schweißlehrer/in"
"205";"Schweißtechniker/in"
"104";"Schweißwerker/in (§66 BBiG/§42r HwO)"
"202";"Schweißwerkmeister/in"
"700";"Schwestern-/Pflegediensthelfer/in"
"700";"Schwimmlehrer/in"
"101";"Schädlingsbekämpfer/in"
"104";"Schäftemacher/in (§66 BBiG/§42r HwO)"
"700";"Script Supervisor"
"700";"Segelfluglehrer/in"
"105";"Segellehrer/in"
"101";"Segelmacher/in"
"401";"Segelmachermeister/in/Bachelor Professional im Segelmacher-Handwerk"
"700";"Seilbahnbetriebsregler/in"
"101";"Seiler/in"
"401";"Seilermeister/in/Bachelor Professional im Seiler-Handwerk"
"700";"Sekretär/in"
"700";"Seminarleiter/in - Lehrkräfteausbildung"
"403";"Semitist/in"
"301";"Semitistik (grundständig)"
"302";"Semitistik (weiterführend)"
"301";"Sensortechnik (grundständig)"
"302";"Sensortechnik (weiterführend)"
"700";"Service-Chat-Agent/in"
"700";"Service-Designer/in"
"101";"Servicefachkraft - Dialogmarketing"
"101";"Servicefahrer/in"
"700";"Serviceingenieur/in"
"101";"Servicekaufmann/-frau - Luftverkehr"
"101";"Servicekraft - Schutz und Sicherheit"
"700";"Servicemitarbeiter/in - Sonnenstudio"
"205";"Servicemonteur/in - Windenergieanlagentechnik"
"700";"Servicetechniker/in - Biogasanlagen"
